PRIZM_CODE,EQ,PRIZM,EQ 2.0
1,Authentic Experiencers,The A-List,Refined Globetrotters
2,Authentic Experiencers,Wealthy & Wise,Refined Globetrotters
3,Free Spirits,Asian Sophisticates,Purpose driven Families
4,Authentic Experiencers,Turbo Burbs,Outdoor Explorers
5,Authentic Experiencers,First-Class Families,Refined Globetrotters
6,Cultural Explorers,Downtown Verve,Culture Seekers
7,Authentic Experiencers,Mature & Secure,Refined Globetrotters
8,Free Spirits,Multiculture-ish,Purpose driven Families
9,Authentic Experiencers,Boomer Bliss,Outdoor Explorers
10,Free Spirits,Asian Achievement,City Trippers
11,Virtual Travellers,Modern Suburbia,Fun and Sun Families
12,Cultural Explorers,"Eat, Play, Love",Culture Seekers
13,Gentle Explorer - Franco,Vie de Rêve,Refined Globetrotters
14,Rejuvenators,Kick-Back Country,Outdoor Explorers
15,Free Spirits,South Asian Enterprise,Fun and Sun Families
16,Authentic Experiencers,Savvy Seniors,Simplicity Lovers
17,Personal History Explorers,Asian Avenues,Culture Seekers
18,Free Spirits,Multicultural Corners,Fun and Sun Families
19,No Hassle Travellers,Family Mode,Purpose driven Families
20,Cultural History Buffs,New Asian Heights,City Trippers
21,Rejuvenators,Scenic Retirement,Simplicity Lovers
22,Cultural Explorers,Indieville,Culture Seekers
23,Personal History Explorers,Mid-City Mellow,Simplicity Lovers
24,Free Spirits,All-Terrain Families,Fun and Sun Families
25,Gentle Explorers,Suburban Sports,Outdoor Explorers
26,No Hassle Travellers,Country Traditions,Simplicity Lovers
27,Virtual Travellers,Diversité Nouvelle,Purpose driven Families
28,Cultural History Buffs,Latte Life,Culture Seekers
29,Gentle Explorer - Franco,C'est Tiguidou,Refined Globetrotters
30,Free Spirits,South Asian Society,City Trippers
31,Free Spirits,Metro Melting Pot,Fun and Sun Families
32,Cultural History Buffs,Diverse & Determined,Culture Seekers
33,Rejuvenators,New Country,Non Travellers
34,Gentle Explorer - Franco,Familles Typiques,Outdoor Explorers
35,Virtual Travellers,Vie Dynamique,Simplicity Lovers
36,No Hassle Travellers,Middle-Class Mosaic,City Trippers
37,No Hassle Travellers,Keep on Trucking,Non Travellers
38,Gentle Explorers,Stressed in Suburbia,City Trippers
39,Virtual Travellers,Évolution Urbaine,Culture Seekers
40,Gentle Explorer - Franco,Les Énerjeunes,City Trippers
41,Rejuvenators,Down to Earth,Simplicity Lovers
42,Gentle Explorer - Franco,Banlieues Tranquilles,Outdoor Explorers
43,Virtual Travellers,Happy Medium,Simplicity Lovers
44,Gentle Explorer - Franco,Un Grand Cru,Outdoor Explorers
45,Rejuvenators,Slow-Lane Suburbs,Simplicity Lovers
46,Gentle Explorer - Franco,Patrimoine Rustique,Non Travellers
47,Cultural History Buffs,Social Networkers,Culture Seekers
48,No Hassle Travellers,Agri-Biz,Non Travellers
49,Virtual Travellers,Backcountry Boomers,Non Travellers
50,Rejuvenators,Country & Western,Outdoor Explorers
51,Personal History Explorers,On Their Own Again,Non Travellers
52,Cultural Explorers,Friends & Roomies,City Trippers
53,Gentle Explorers,Silver Flats,Non Travellers
54,Personal History Explorers,Vie au Village,Non Travellers
55,Cultural History Buffs,Enclaves Multiethniques,City Trippers
56,Gentle Explorer - Franco,Jeunes Biculturels,Culture Seekers
57,Free Spirits,Juggling Acts,City Trippers
58,No Hassle Travellers,Old Town Roads,Simplicity Lovers
59,Gentle Explorer - Franco,La Vie Simple,Simplicity Lovers
60,Gentle Explorers,Value Villagers,Non Travellers
61,Free Spirits,Came From Away,City Trippers
62,Gentle Explorers,Suburban Recliners,Simplicity Lovers
63,Personal History Explorers,Amants de la Nature,Simplicity Lovers
64,Free Spirits,Midtown Movers,City Trippers
65,No Hassle Travellers,Âgés & Traditionnels,Non Travellers
66,Personal History Explorers,Indigenous Families,Fun and Sun Families
67,Gentle Explorers,Just Getting By,Non Travellers
68,Unclassified,Unclassified,Unclassified
